ID;date_time;date;time;temp;site;elev_cat
94;2022-09-10 12:00;2022-09-10;12:00:00;12.862;N;H
95;2022-09-10 13:00;2022-09-10;13:00:00;12.197;N;H
96;2022-09-10 14:00;2022-09-10;14:00:00;12.583;N;H
97;2022-09-10 15:00;2022-09-10;15:00:00;10.294;N;H
98;2022-09-10 16:00;2022-09-10;16:00:00;7.636;N;H
99;2022-09-10 17:00;2022-09-10;17:00:00;7.862;N;H
100;2022-09-10 18:00;2022-09-10;18:00:00;6.283;N;H
101;2022-09-10 19:00;2022-09-10;19:00:00;5.926;N;H
102;2022-09-10 20:00;2022-09-10;20:00:00;4.953;N;H
103;2022-09-10 21:00;2022-09-10;21:00:00;4.122;N;H
104;2022-09-10 22:00;2022-09-10;22:00:00;2.955;N;H
105;2022-09-10 23:00;2022-09-10;23:00:00;1.717;N;H
106;2022-09-11 00:00;2022-09-11;00:00:00;0.278;N;H
107;2022-09-11 01:00;2022-09-11;01:00:00;0.855;N;H
108;2022-09-11 02:00;2022-09-11;02:00:00;-1.045;N;H
109;2022-09-11 03:00;2022-09-11;03:00:00;-1.211;N;H
110;2022-09-11 04:00;2022-09-11;04:00:00;-1.477;N;H
111;2022-09-11 05:00;2022-09-11;05:00:00;0.106;N;H
112;2022-09-11 06:00;2022-09-11;06:00:00;2.158;N;H
113;2022-09-11 07:00;2022-09-11;07:00:00;3.398;N;H
114;2022-09-11 08:00;2022-09-11;08:00:00;3.816;N;H
115;2022-09-11 09:00;2022-09-11;09:00:00;4.136;N;H
116;2022-09-11 10:00;2022-09-11;10:00:00;5.352;N;H
117;2022-09-11 11:00;2022-09-11;11:00:00;7.011;N;H
118;2022-09-11 12:00;2022-09-11;12:00:00;7;N;H
119;2022-09-11 13:00;2022-09-11;13:00:00;7.863;N;H
120;2022-09-11 14:00;2022-09-11;14:00:00;7.192;N;H
121;2022-09-11 15:00;2022-09-11;15:00:00;8.173;N;H
122;2022-09-11 16:00;2022-09-11;16:00:00;7.459;N;H
123;2022-09-11 17:00;2022-09-11;17:00:00;6.961;N;H
124;2022-09-11 18:00;2022-09-11;18:00:00;6.571;N;H
125;2022-09-11 19:00;2022-09-11;19:00:00;5.762;N;H
126;2022-09-11 20:00;2022-09-11;20:00:00;5.498;N;H
127;2022-09-11 21:00;2022-09-11;21:00:00;5.463;N;H
128;2022-09-11 22:00;2022-09-11;22:00:00;5.297;N;H
129;2022-09-11 23:00;2022-09-11;23:00:00;5.465;N;H
130;2022-09-12 00:00;2022-09-12;00:00:00;5.185;N;H
131;2022-09-12 01:00;2022-09-12;01:00:00;4.822;N;H
132;2022-09-12 02:00;2022-09-12;02:00:00;4.771;N;H
133;2022-09-12 03:00;2022-09-12;03:00:00;4.388;N;H
134;2022-09-12 04:00;2022-09-12;04:00:00;4.169;N;H
135;2022-09-12 05:00;2022-09-12;05:00:00;4.04;N;H
